NO,MODE,DEVICE,ACTUAL,REFER,MEASURE,LIMIT_DOWN,PRESENT_DOWN,LIMIT_UP,PRESENT_UP,FILENAME
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314123619.CSV"
597,R.,R715,039.0 o,39.0 o,42.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314123536.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314123914.CSV"
597,R.,R715,039.0 o,39.0 o,43.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314123955.CSV"
597,R.,R715,039.0 o,39.0 o,43.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314114150.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314124035.CSV"
597,R.,R715,039.0 o,39.0 o,43.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314123743.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314124329.CSV"
597,R.,R715,039.0 o,39.0 o,43.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314123827.CSV"
597,R.,R715,039.0 o,39.0 o,44.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314124200.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314124659.CSV"
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314124245.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314124931.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314125205.CSV"
597,R.,R715,039.0 o,39.0 o,43.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314125417.CSV"
597,R.,R715,039.0 o,39.0 o,43.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314130001.CSV"
597,R.,R715,039.0 o,39.0 o,43.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314130042.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314130157.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314123659.CSV"
597,R.,R715,039.0 o,39.0 o,42.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314130241.CSV"
597,R.,R715,039.0 o,39.0 o,42.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314125818.CSV"
597,R.,R715,039.0 o,39.0 o,43.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314130928.CSV"
597,R.,R715,039.0 o,39.0 o,43.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314130736.CSV"
597,R.,R715,039.0 o,39.0 o,44.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314125458.CSV"
597,R.,R715,039.0 o,39.0 o,42.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314131011.CSV"
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314130448.CSV"
597,R.,R715,039.0 o,39.0 o,43.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314131224.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314131458.CSV"
597,R.,R715,039.0 o,39.0 o,42.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314131306.CSV"
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314131635.CSV"
597,R.,R715,039.0 o,39.0 o,43.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314131142.CSV"
597,R.,R715,039.0 o,39.0 o,42.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316031414.CSV"
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314131800.CSV"
597,R.,R715,039.0 o,39.0 o,42.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316031923.CSV"
597,R.,R715,039.0 o,39.0 o,43.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314131720.CSV"
597,R.,R715,039.0 o,39.0 o,42.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316032150.CSV"
597,R.,R715,039.0 o,39.0 o,41.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316032043.CSV"
597,R.,R715,039.0 o,39.0 o,44.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314131402.CSV"
597,R.,R715,039.0 o,39.0 o,41.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316032327.CSV"
597,R.,R715,039.0 o,39.0 o,41.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316032232.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316032455.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316032539.CSV"
597,R.,R715,039.0 o,39.0 o,41.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316032627.CSV"
597,R.,R715,039.0 o,39.0 o,41.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316032409.CSV"
597,R.,R715,039.0 o,39.0 o,41.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316032818.CSV"
597,R.,R715,039.0 o,39.0 o,40.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316032915.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316033224.CSV"
597,R.,R715,039.0 o,39.0 o,42.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316033026.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316033535.CSV"
597,R.,R715,039.0 o,39.0 o,41.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316033620.CSV"
597,R.,R715,039.0 o,39.0 o,41.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316033137.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316033453.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316032722.CSV"
597,R.,R715,039.0 o,39.0 o,42.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316034424.CSV"
597,R.,R715,039.0 o,39.0 o,40.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316034326.CSV"
